fold_i,fold_j,repeat_i,repeat_j,same_repeat,normalized_projector_overlap
7,38,2,8,0,0.6840252350346497
7,39,2,8,0,0.6862149740766048
7,40,2,8,0,0.6552614907301451
7,41,2,9,0,0.6553826052885863
7,42,2,9,0,0.738142084552207
7,43,2,9,0,0.6980612884754868
7,44,2,9,0,0.616127250383091
7,45,2,9,0,0.7077698009816473
7,46,2,10,0,0.7226610922634584
7,47,2,10,0,0.6609868139946105
7,48,2,10,0,0.6761957758539419
7,49,2,10,0,0.68177141468027
7,50,2,10,0,0.679934246893909
7,51,2,11,0,0.6284964096628287
7,52,2,11,0,0.6065125587729908
7,53,2,11,0,0.7014155310495448
7,54,2,11,0,0.7053279325234773
7,55,2,11,0,0.7529736886052082
7,56,2,12,0,0.6582542179489289
7,57,2,12,0,0.7177308499509141
7,58,2,12,0,0.5461651645068273
7,59,2,12,0,0.7259551440850367
7,60,2,12,0,0.6882630609643708
7,61,2,13,0,0.679495124769014
7,62,2,13,0,0.6980475304882674
7,63,2,13,0,0.6238191303729019
7,64,2,13,0,0.7105467170950223
7,65,2,13,0,0.700604179909176
7,66,2,14,0,0.6841426962814317
7,67,2,14,0,0.6188232948636677
7,68,2,14,0,0.643943849230769
7,69,2,14,0,0.7424076118408811
7,70,2,14,0,0.6591458001511663
7,71,2,15,0,0.6262076557389566
7,72,2,15,0,0.7260482867966177
7,73,2,15,0,0.6799157879433859
7,74,2,15,0,0.6438493474817294
7,75,2,15,0,0.7314149303349318
7,76,2,16,0,0.6617489953400952
7,77,2,16,0,0.6576668098882852
7,78,2,16,0,0.7053521041327739
7,79,2,16,0,0.6959728291857699
7,80,2,16,0,0.635239460475542
7,81,2,17,0,0.6641879398090209
7,82,2,17,0,0.7734185980118301
7,83,2,17,0,0.7339253095779689
7,84,2,17,0,0.6474377210514575
7,85,2,17,0,0.6385041267329583
7,86,2,18,0,0.6563830135337112
7,87,2,18,0,0.7237724269521914
7,88,2,18,0,0.7141250583773743
7,89,2,18,0,0.649482468289781
7,90,2,18,0,0.6829469859868489
7,91,2,19,0,0.6275692633904234
7,92,2,19,0,0.618053997576214
7,93,2,19,0,0.6787948034841178
7,94,2,19,0,0.709536948142371
7,95,2,19,0,0.7456543503185671
7,96,2,20,0,0.6555498355937741
7,97,2,20,0,0.6050694401862546
7,98,2,20,0,0.7563311780595318
7,99,2,20,0,0.689152687084245
7,100,2,20,0,0.7055395242795542
8,9,2,2,1,0.5741660502385753
8,10,2,2,1,0.6374386204696181
8,11,2,3,0,0.652737079484102
8,12,2,3,0,0.7027293482958916
8,13,2,3,0,0.7284862097568277
8,14,2,3,0,0.6520503489026719
8,15,2,3,0,0.6299583087224714
8,16,2,4,0,0.6997851797217858
8,17,2,4,0,0.5867156355811659
8,18,2,4,0,0.7015508848890829
8,19,2,4,0,0.6955960753601634
8,20,2,4,0,0.6553688174661192
8,21,2,5,0,0.6593868883216456
8,22,2,5,0,0.6613196124352001
8,23,2,5,0,0.7049073140107462
8,24,2,5,0,0.6564103184666161
8,25,2,5,0,0.6643336664640325
8,26,2,6,0,0.6271569854826389
8,27,2,6,0,0.7067936115699271
8,28,2,6,0,0.7344201052988727
8,29,2,6,0,0.6157619020406029
8,30,2,6,0,0.7102775727215955
8,31,2,7,0,0.6966250580680993
8,32,2,7,0,0.6999734989950481
8,33,2,7,0,0.6226756331698501
8,34,2,7,0,0.6737009663287888
8,35,2,7,0,0.6497427447483046
8,36,2,8,0,0.6600009998281919
8,37,2,8,0,0.6493663905373049
8,38,2,8,0,0.6593745997286155
8,39,2,8,0,0.666350172641074
8,40,2,8,0,0.7364037689606338
8,41,2,9,0,0.6652215132489039
8,42,2,9,0,0.7049781497267236
8,43,2,9,0,0.6413621174594022
8,44,2,9,0,0.6537490831772541
8,45,2,9,0,0.7077066159737202
8,46,2,10,0,0.6982515688932919
8,47,2,10,0,0.6740904300922023
8,48,2,10,0,0.7332633855418522
8,49,2,10,0,0.6696377127640771
8,50,2,10,0,0.622773760089473
8,51,2,11,0,0.6514479631741028
8,52,2,11,0,0.7040353052473429
8,53,2,11,0,0.6924211844454913
8,54,2,11,0,0.7761402324132902
8,55,2,11,0,0.5970627979279735
8,56,2,12,0,0.691559043059138
8,57,2,12,0,0.6471136370897106
8,58,2,12,0,0.6273465454173157
8,59,2,12,0,0.6573332973700918
8,60,2,12,0,0.6495011707524719
8,61,2,13,0,0.712292716095565
8,62,2,13,0,0.7212461785603661
8,63,2,13,0,0.6313699262889647
8,64,2,13,0,0.6871912089488027
8,65,2,13,0,0.666672008971276
8,66,2,14,0,0.6784025795992856
