geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,reaches_chemical_accuracy,overlap_with_real
1.2,RANDOM,25043010,8,1.1278446004191136e-06,0.6119483850428633,-8.563425495453057,-9.17537388049592,0.0,0.0,2.8453276302105066e-07,1.409805750523892e-07,False,0
1.2,RANDOM,25043011,8,4.70945388764409e-06,2.6021320525821814,-6.573241827913739,-9.17537388049592,0.0,0.0,1.4273135387763248e-06,5.886817359555113e-07,False,0
1.2,REAL,,12,0.9980362534816163,0.00041049738324439033,-9.174963383112676,-9.17537388049592,0.08333333333333333,1.0,0.9994376104187267,0.08316968779013469,True,
1.2,EN2,,12,0.9980362534816164,0.00041049738324439033,-9.174963383112676,-9.17537388049592,0.08333333333333333,1.0,0.9995747434434684,0.0831696877901347,True,12
1.2,CHEM_EXCITATION,,12,0.9839440515811935,0.01681502763898557,-9.158558852856935,-9.17537388049592,0.08333333333333333,1.0,0.9941914002420754,0.08199533763176613,False,1
1.2,RANDOM,25043000,12,0.9829804532417614,0.016803471274005943,-9.158570409221914,-9.17537388049592,0.08333333333333333,1.0,0.268724960008834,0.08191503777014679,False,1
1.2,RANDOM,25043001,12,4.18697757731374e-07,0.8556410177991598,-8.31973286269676,-9.17537388049592,0.0,0.0,1.249000603681638e-07,3.4891479810947837e-08,False,0
1.2,RANDOM,25043002,12,1.2938351012783942e-05,2.404921583369667,-6.770452297126253,-9.17537388049592,0.0,0.0,5.111105547611515e-06,1.078195917731995e-06,False,1
1.2,RANDOM,25043003,12,0.9820121857239414,0.016814454224054032,-9.158559426271866,-9.17537388049592,0.08333333333333333,1.0,0.3311401155222951,0.08183434881032846,False,1
1.2,RANDOM,25043004,12,0.0020823949778393967,0.8353956657060433,-8.339978214789877,-9.17537388049592,0.0,0.0,0.0014693932997921662,0.00017353291481994972,False,1
1.2,RANDOM,25043005,12,9.327619431678756e-06,0.8554762203235615,-8.319897660172359,-9.17537388049592,0.0,0.0,2.3461618993459656e-06,7.77301619306563e-07,False,1
1.2,RANDOM,25043006,12,1.4565954898301626e-05,0.22660491009987638,-8.948768970396044,-9.17537388049592,0.0,0.0,4.456158467116675e-06,1.2138295748584688e-06,False,1
1.2,RANDOM,25043007,12,2.0746199027210025e-07,0.8557157508760636,-8.319658129619857,-9.17537388049592,0.0,0.0,4.443425778041547e-08,1.7288499189341688e-08,False,0
